Rakuten Category ID,ZenPlus Category ID
100005,41720
100026,36201
100227,19447
100316,33250
100371,10796
100433,1
100533,2750
100804,25444
100938,6127
100939,13316
101070,27895
101114,43073
101164,350
101205,350
101213,9088
101240,21050
101381,41713
101438,0
111427,0
112493,21050
200162,32273
211742,23530
215783,11753
216129,4050
216131,7127
503190,46517
510901,41110
510915,38066
551167,5562
551169,38851
551177,10346
558885,19176
558929,18299
558944,33707
562637,39510
564500,23530
565004,23530
566382,350
100012,41720
100880,41720
100890,42842
100893,41720
101737,43072
113084,41720
567273,41720
100087,36201
100094,36201
100103,36201
101451,37810
110080,36201
110105,36201
208582,36201
211741,38065
303087,37582
560062,36867
565162,36201
565163,36201
565164,36201
565247,36201
567167,36201
568560,36201
100228,19447
100236,19447
100246,19760
100250,19447
100256,20345
100262,20980
100268,19447
100293,19447
100300,20653
101769,21049
110472,19447
200911,19447
200990,19930
201018,19447
201085,21040
410901,20864
507779,20841
507788,20855
507818,20910
100265,33250
100356,33250
101785,33706
110692,33250
201351,33250
201393,33250
302992,33250
502134,33250
506536,33396
559936,33250
559939,33250
565597,33250
565598,33250
565599,33250
566734,33250
566805,33250
567677,33250
567678,33250
567679,33250
568781,33250
100428,10796
101801,11752
110729,10797
303735,10796
403911,11743
409165,10796
409365,11691
553029,10903
553036,11734
555083,10796
555084,10824
555086,10850
555087,10796
555089,11114
555091,10348
564338,10796
566016,11744
568279,10796
568650,10796
568651,10796
101817,349
566222,1
566223,1
566224,1
568470,1
101828,4049
111078,2750
111102,2750
111116,2750
200815,2750
200822,2750
200827,2750
200833,2750
200839,2750
205200,2750
213972,2750
401118,2750
401123,2750
508445,2750
551702,2750
563310,2750
565031,2750
566088,2750
566089,2750
566090,2750
100805,25444
100823,25812
100857,25444
100863,27534
100933,27748
101859,27894
111346,26723
111355,25444
111363,26656
200119,25444
200166,25445
200167,27522
203024,25444
205515,26575
205677,25444
207738,25444
210102,26771
210143,27705
215566,26023
215767,25444
301570,25444
500314,25444
500349,27863
564568,25444
566174,25444
566175,25444
568409,25444
568692,25444
100984,6128
100987,6749
101035,6977
101876,7126
203260,7014
204745,6959
563727,7104
563818,6127
100878,13316
100940,13316
100944,13317
100960,17874
101877,18298
111120,13316
111787,13316
201454,17957
204233,13316
204245,13316
210462,13316
216492,13316
564517,15396
567431,13316
100558,30614
101077,28264
101100,31059
101157,27895
101893,32272
101975,29545
111961,29837
200061,27895
200067,31357
200168,27895
200169,27895
200170,31761
201890,27895
201937,31303
201950,30918
201955,30953
201959,31619
201963,31674
205074,32047
214668,31718
214673,31803
302472,31743
402486,32126
402512,31754
407916,31790
407942,32105
502046,31050
502051,27895
509057,27895
551942,27895
565738,27895
565739,27895
567218,27895
568583,27895
101115,43073
112919,46516
200304,43073
304564,43073
101165,350
101168,350
101222,2629
112132,2550
112928,2749
207609,350
207622,350
213517,350
213619,350
213647,350
213656,350
213684,350
213731,350
213749,350
566800,350
567215,350
568195,350
101915,2749
112243,2002
112257,2141
112271,2400
112285,2415
112289,2328
112303,2352
112317,2368
200192,2225
200193,2385
200589,2425
200592,2280
200594,2457
206062,1849
206076,1739
300955,1818
500481,1945
500739,1802
553848,350
562921,1832
563543,350
563544,48814
563545,350
565950,48813
568375,350
568382,350
568771,350
101916,10345
203107,10137
204183,9088
206139,9088
206213,9088
215278,9088
215298,9088
409777,9747
409839,10315
507513,9088
507524,9088
560198,10336
565699,9088
566240,9088
568355,9088
568525,9088
101311,21559
101327,23371
101354,21051
112960,23529
200531,23290
200532,23495
205900,23362
505034,21356
101954,41719
566730,41713
566732,41713
568693,41713
101439,0
101445,0
101963,2749
200052,0
202559,0
202564,0
403678,9085
550693,0
553288,0
565546,0
565547,0
566241,0
567749,0
568652,0
568755,0
568782,0
112824,19446
210900,27878
210908,27888
567846,0
112998,23529
203018,21050
203019,21050
203020,21050
204210,21050
204228,23075
206023,37545
206024,21050
211233,21050
211307,21050
566954,21050
566955,21050
567525,21050
101242,32273
101248,32469
101254,33183
101257,32273
101266,32274
101278,32273
101281,32840
101287,32763
101293,32273
101299,32869
101302,33186
101305,32605
200098,33222
200446,32704
200450,32273
200489,33247
203063,33249
208663,32302
208726,32367
208866,32557
209260,33031
209261,33068
209298,33120
507873,33223
567216,32273
567217,32273
568582,32273
100155,24492
100212,23530
101739,25443
110247,23530
200225,23530
202952,23530
212988,23530
213198,24840
404237,24134
503285,24968
553203,23530
563843,23530
566735,23530
566736,23530
567843,23530
100554,11753
100645,11821
100656,11753
100664,12025
100683,12394
100822,13218
100872,12421
100901,12638
111173,11753
111469,11755
111475,12082
111519,13106
111524,13187
112779,13053
210191,11926
567436,11753
568199,11753
100486,4051
207030,4050
301966,5448
407279,5368
407326,5300
407455,5545
508586,5416
551853,4050
559284,5561
567432,4050
100467,8816
207334,8571
216132,9087
403762,8455
403769,7127
403776,8688
403829,7127
409031,7127
502427,8706
502456,7127
502460,7127
502462,8567
502464,7127
560100,7127
564627,7127
565210,7127
565211,7127
565212,7127
567433,7127
568193,7127
568194,7127
101126,46517
200305,47918
503249,48812
100337,41111
110662,41516
510903,41675
510914,41712
100317,38067
100324,38066
100330,38564
110609,38648
201337,38590
201344,38833
204456,38849
402930,38600
402934,38611
403311,38848
408156,38066
408163,38621
408175,38635
408179,38066
565949,38066
567650,38066
100283,5563
201136,5564
201150,5562
201153,5562
201179,5993
203223,5562
214193,5562
214203,5562
214276,6063
410853,19914
509708,5842
551168,6126
562625,6002
564648,5562
564649,5562
566807,5562
568410,5562
101048,38851
101058,38851
201525,39333
201541,38951
205789,38852
208223,38851
208264,38851
402757,39355
402771,39452
551172,38851
551176,39457
567526,38851
568196,38851
568197,38851
568198,38851
568408,38851
568471,38851
568524,38851
568561,38851
568584,38851
100372,10348
110765,10515
